percent pertubation_type Round CV AUC AUPR
1 networkfeature Round--5 CV--5 0.51349 0.22790
1 networkfeature Round--6 CV--1 0.49832 0.21563
1 networkfeature Round--6 CV--2 0.49304 0.21187
1 networkfeature Round--6 CV--3 0.50485 0.22261
1 networkfeature Round--6 CV--4 0.51370 0.22428
1 networkfeature Round--6 CV--5 0.52928 0.24022
1 networkfeature Round--7 CV--1 0.48967 0.22617
1 networkfeature Round--7 CV--2 0.45884 0.20133
1 networkfeature Round--7 CV--3 0.48078 0.21292
1 networkfeature Round--7 CV--4 0.49740 0.21442
1 networkfeature Round--7 CV--5 0.50437 0.21915
1 networkfeature Round--8 CV--1 0.48568 0.20733
1 networkfeature Round--8 CV--2 0.50556 0.21999
1 networkfeature Round--8 CV--3 0.50632 0.22193
1 networkfeature Round--8 CV--4 0.51643 0.23794
1 networkfeature Round--8 CV--5 0.50765 0.22052
1 networkfeature Round--9 CV--1 0.45987 0.19730
1 networkfeature Round--9 CV--2 0.50673 0.21205
1 networkfeature Round--9 CV--3 0.49949 0.21422
1 networkfeature Round--9 CV--4 0.48440 0.20746
1 networkfeature Round--9 CV--5 0.51252 0.22966
0.75 networkfeature Round--0 CV--1 0.71014 0.49175
0.75 networkfeature Round--0 CV--2 0.61227 0.34296
0.75 networkfeature Round--0 CV--3 0.62270 0.34509
0.75 networkfeature Round--0 CV--4 0.71241 0.51992
